customer_id,last_order_date,frequency,monetary,recency_days,r_score,f_score,m_score,rfm_total,segment
CUST5067,2026-03-20,1,16375.92,103,3,1,1,5,At Risk
CUST5068,2026-06-05,2,9145.01,26,4,1,1,6,Potential Loyalists
CUST5069,2024-01-16,1,1288.09,897,1,1,1,3,Lost / Churned
CUST5070,2026-03-10,17,127702.15,113,3,4,4,11,Champions
CUST5071,2026-04-16,3,40495.76,76,3,1,2,6,Potential Loyalists
CUST5072,2026-05-31,16,149356.2,31,4,4,4,12,Champions
CUST5073,2025-06-06,4,32899.88,390,1,2,2,5,At Risk
CUST5074,2025-08-01,8,64093.7,334,1,4,3,8,Loyal Customers
CUST5075,2025-10-30,4,20093.61,244,2,2,1,5,At Risk
CUST5076,2026-04-10,8,96390.07,82,3,4,4,11,Champions
CUST5077,2026-06-29,6,44391.200000000004,2,4,3,3,10,Champions
CUST5078,2026-06-15,5,65397.71,16,4,2,3,9,Loyal Customers
CUST5079,2026-04-25,4,35211.57,67,3,2,2,7,Potential Loyalists
CUST5080,2025-11-22,6,53091.43,221,2,3,3,8,Loyal Customers
CUST5081,2026-06-25,13,86562.57,6,4,4,4,12,Champions
CUST5082,2026-06-26,13,123984.34,5,4,4,4,12,Champions
CUST5083,2025-04-12,7,60903.69,445,1,3,3,7,Potential Loyalists
CUST5084,2026-04-12,11,147827.72,80,3,4,4,11,Champions
CUST5085,2026-06-24,8,83125.14,7,4,4,4,12,Champions
CUST5086,2024-10-20,4,18733.41,619,1,2,1,4,At Risk
CUST5087,2025-09-01,6,71987.4,303,1,3,4,8,Loyal Customers
CUST5088,2026-02-04,3,28793.62,147,2,1,2,5,At Risk
CUST5089,2024-11-18,2,29355.61,590,1,1,2,4,At Risk
CUST5090,2026-06-19,7,59902.57,12,4,3,3,10,Champions
CUST5091,2026-03-12,8,65534.13,111,3,4,3,10,Champions
CUST5092,2026-06-25,4,20728.66,6,4,2,1,7,Potential Loyalists
CUST5093,2026-02-26,4,63633.76,125,3,2,3,8,Loyal Customers
CUST5094,2025-07-08,1,19744.49,358,1,1,1,3,Lost / Churned
CUST5095,2026-04-15,6,32142.93,77,3,3,2,8,Loyal Customers
CUST5096,2026-05-30,15,97178.23,32,4,4,4,12,Champions
CUST5097,2026-04-18,6,47512.0,74,3,3,3,9,Loyal Customers
CUST5098,2025-08-04,2,26223.97,331,1,1,2,4,At Risk
CUST5099,2026-03-14,4,29339.73,109,3,2,2,7,Potential Loyalists
CUST5100,2026-06-12,13,143006.19,19,4,4,4,12,Champions
CUST5101,2025-11-19,10,111127.19,224,2,4,4,10,Champions
CUST5102,2026-04-29,2,18053.149999999998,63,3,1,1,5,At Risk
CUST5103,2026-04-27,11,104886.45999999999,65,3,4,4,11,Champions
CUST5104,2026-04-02,14,129427.66,90,3,4,4,11,Champions
CUST5105,2025-08-27,5,38033.03,308,1,2,2,5,At Risk
CUST5106,2026-05-11,10,55990.490000000005,51,4,4,3,11,Champions
CUST5107,2026-04-13,12,108715.24,79,3,4,4,11,Champions
CUST5108,2026-04-30,15,139259.28,62,3,4,4,11,Champions
CUST5109,2026-06-25,7,37128.24,6,4,3,2,9,Loyal Customers
CUST5110,2026-04-22,11,85684.31,70,3,4,4,11,Champions
CUST5111,2026-03-07,4,33568.63,116,3,2,2,7,Potential Loyalists
CUST5112,2025-10-09,4,42998.479999999996,265,2,2,2,6,Potential Loyalists
CUST5113,2026-06-14,4,19702.510000000002,17,4,2,1,7,Potential Loyalists
CUST5114,2025-07-20,6,109439.82,346,1,3,4,8,Loyal Customers
CUST5115,2025-04-17,3,34003.44,440,1,1,2,4,At Risk
CUST5116,2024-03-10,1,1355.38,843,1,1,1,3,Lost / Churned
CUST5117,2026-05-10,3,25439.309999999998,52,4,1,2,7,Potential Loyalists
CUST5118,2026-03-23,3,31433.57,100,3,1,2,6,Potential Loyalists
CUST5119,2026-04-25,13,164795.35,67,3,4,4,11,Champions
CUST5120,2025-06-01,1,2496.01,395,1,1,1,3,Lost / Churned
CUST5121,2025-11-13,8,77459.17,230,2,4,4,10,Champions
CUST5122,2026-06-12,7,80932.45,19,4,3,4,11,Champions
CUST5123,2026-02-02,5,72040.9,149,2,2,4,8,Loyal Customers
CUST5124,2026-01-30,1,2740.64,152,2,1,1,4,At Risk
CUST5125,2026-01-18,8,72555.47,164,2,4,4,10,Champions
CUST5126,2026-06-30,9,63601.61,1,4,4,3,11,Champions
CUST5127,2026-06-14,7,37361.81,17,4,3,2,9,Loyal Customers
CUST5128,2026-01-13,4,34041.67,169,2,2,2,6,Potential Loyalists
CUST5129,2025-10-07,3,18689.17,267,2,1,1,4,At Risk
CUST5130,2026-06-17,10,94683.65,14,4,4,4,12,Champions
CUST5131,2026-03-04,4,16647.93,119,3,2,1,6,Potential Loyalists
CUST5132,2026-01-22,4,31073.84,160,2,2,2,6,Potential Loyalists
CUST5133,2026-05-23,6,69483.51,39,4,3,3,10,Champions
CUST5134,2026-02-18,10,112101.72,133,3,4,4,11,Champions
CUST5135,2026-06-06,7,67757.01,25,4,3,3,10,Champions
CUST5136,2026-04-15,3,31231.9,77,3,1,2,6,Potential Loyalists
CUST5137,2025-12-24,1,6690.24,189,2,1,1,4,At Risk
CUST5138,2026-05-21,5,53576.17,41,4,2,3,9,Loyal Customers
CUST5139,2026-03-26,6,64795.79,97,3,3,3,9,Loyal Customers
CUST5140,2025-12-18,14,126662.79,195,2,4,4,10,Champions
CUST5141,2026-04-20,7,78255.20999999999,72,3,3,4,10,Champions
CUST5142,2026-03-09,7,66616.51000000001,114,3,3,3,9,Loyal Customers
CUST5143,2026-05-05,7,72268.21,57,3,3,4,10,Champions
CUST5144,2026-06-06,7,85848.0,25,4,3,4,11,Champions
CUST5145,2026-01-02,5,63308.2,180,2,2,3,7,Potential Loyalists
CUST5146,2026-03-10,5,41741.880000000005,113,3,2,2,7,Potential Loyalists
CUST5147,2025-07-20,3,20460.940000000002,346,1,1,1,3,Lost / Churned
CUST5148,2026-01-22,4,33751.399999999994,160,2,2,2,6,Potential Loyalists
CUST5149,2026-05-19,9,44900.58,43,4,4,3,11,Champions
CUST5150,2026-01-06,9,78820.84,176,2,4,4,10,Champions
CUST5151,2024-08-03,1,9169.55,697,1,1,1,3,Lost / Churned
CUST5152,2025-04-25,2,14891.19,432,1,1,1,3,Lost / Churned
CUST5153,2025-09-16,8,65454.15,288,1,4,3,8,Loyal Customers
CUST5154,2025-10-18,2,3096.07,256,2,1,1,4,At Risk
CUST5155,2026-04-15,9,89892.92,77,3,4,4,11,Champions
CUST5156,2026-01-23,5,56901.409999999996,159,2,2,3,7,Potential Loyalists
CUST5157,2026-04-15,4,20514.73,77,3,2,1,6,Potential Loyalists
CUST5158,2025-02-18,7,66111.56,498,1,3,3,7,Potential Loyalists
CUST5159,2025-05-20,1,4896.1,407,1,1,1,3,Lost / Churned
CUST5160,2025-12-24,5,69756.95,189,2,2,3,7,Potential Loyalists
CUST5161,2026-06-01,1,3564.12,30,4,1,1,6,Potential Loyalists
CUST5162,2025-12-20,5,59297.399999999994,193,2,2,3,7,Potential Loyalists
CUST5163,2026-06-06,6,59180.86,25,4,3,3,10,Champions
CUST5164,2026-06-20,6,40680.84,11,4,3,2,9,Loyal Customers
CUST5165,2026-06-02,6,61282.520000000004,29,4,3,3,10,Champions
CUST5166,2026-06-23,4,30945.26,8,4,2,2,8,Loyal Customers
CUST5167,2026-05-26,9,92743.51,36,4,4,4,12,Champions
CUST5168,2025-10-24,3,20111.75,250,2,1,1,4,At Risk
CUST5169,2026-05-14,8,120219.64,48,4,4,4,12,Champions
CUST5170,2024-08-18,1,1448.18,682,1,1,1,3,Lost / Churned
CUST5171,2026-06-26,8,64718.43,5,4,4,3,11,Champions
CUST5172,2025-11-17,5,65255.44,226,2,2,3,7,Potential Loyalists
CUST5173,2025-03-02,1,13588.85,486,1,1,1,3,Lost / Churned
CUST5174,2026-04-11,4,34104.85,81,3,2,2,7,Potential Loyalists
CUST5175,2026-02-14,2,32908.83,137,2,1,2,5,At Risk
CUST5176,2026-06-19,6,69849.45,12,4,3,3,10,Champions
CUST5177,2026-06-01,10,86415.45,30,4,4,4,12,Champions
CUST5178,2026-04-19,6,51634.55,73,3,3,3,9,Loyal Customers
CUST5179,2025-10-08,4,27543.989999999998,266,2,2,2,6,Potential Loyalists
CUST5180,2025-02-26,1,2134.5,490,1,1,1,3,Lost / Churned
CUST5181,2026-03-11,6,63406.66,112,3,3,3,9,Loyal Customers
CUST5182,2026-06-14,8,63987.2,17,4,4,3,11,Champions
CUST5183,2026-06-03,6,44218.16,28,4,3,2,9,Loyal Customers
CUST5184,2026-04-29,2,17936.33,63,3,1,1,5,At Risk
CUST5185,2026-02-11,6,70429.17,140,2,3,3,8,Loyal Customers
CUST5186,2026-04-06,1,4281.48,86,3,1,1,5,At Risk
CUST5187,2026-05-03,4,14985.89,59,3,2,1,6,Potential Loyalists
CUST5188,2026-05-28,3,52854.94,34,4,1,3,8,Loyal Customers
CUST5189,2024-10-28,2,20317.36,611,1,1,1,3,Lost / Churned
CUST5190,2026-06-06,8,79018.34999999999,25,4,4,4,12,Champions
CUST5191,2025-11-01,6,27560.08,242,2,3,2,7,Potential Loyalists
CUST5192,2024-10-27,1,1506.9,612,1,1,1,3,Lost / Churned
CUST5193,2025-12-01,5,33137.880000000005,212,2,2,2,6,Potential Loyalists
CUST5194,2026-04-07,7,91081.38,85,3,3,4,10,Champions
CUST5195,2026-05-08,6,27271.95,54,4,3,2,9,Loyal Customers
CUST5196,2024-10-17,2,16556.82,622,1,1,1,3,Lost / Churned
CUST5197,2026-05-05,7,69378.5,57,3,3,3,9,Loyal Customers
CUST5198,2026-05-02,8,72557.18,60,3,4,4,11,Champions
CUST5199,2025-11-28,7,68764.76,215,2,3,3,8,Loyal Customers
CUST5200,2024-10-28,1,14831.6,611,1,1,1,3,Lost / Churned
CUST5201,2026-05-12,14,171862.98,50,4,4,4,12,Champions
CUST5202,2026-05-25,4,18363.35,37,4,2,1,7,Potential Loyalists
CUST5203,2026-05-08,6,42568.55,54,4,3,2,9,Loyal Customers
CUST5204,2024-05-18,1,9067.99,774,1,1,1,3,Lost / Churned
CUST5205,2025-12-26,15,145039.71,187,2,4,4,10,Champions
CUST5206,2026-04-16,8,72010.02,76,3,4,4,11,Champions
CUST5207,2025-12-14,2,9744.08,199,2,1,1,4,At Risk
CUST5208,2026-06-29,3,50369.16,2,4,1,3,8,Loyal Customers
CUST5209,2026-02-21,5,42050.020000000004,130,3,2,2,7,Potential Loyalists
CUST5210,2026-06-21,10,53333.79,10,4,4,3,11,Champions
CUST5211,2026-05-14,5,43740.579999999994,48,4,2,2,8,Loyal Customers
CUST5212,2026-01-11,4,39000.520000000004,171,2,2,2,6,Potential Loyalists
CUST5213,2025-02-06,3,13837.23,510,1,1,1,3,Lost / Churned
CUST5214,2025-11-12,1,15848.42,231,2,1,1,4,At Risk
CUST5215,2026-06-22,8,44831.83,9,4,4,3,11,Champions
CUST5216,2024-07-02,2,21299.989999999998,729,1,1,1,3,Lost / Churned
CUST5217,2026-05-13,11,74244.82,49,4,4,4,12,Champions
CUST5218,2025-11-23,6,39043.32,220,2,3,2,7,Potential Loyalists
CUST5219,2026-06-16,6,77412.33,15,4,3,4,11,Champions
CUST5220,2026-04-30,7,87848.87,62,3,3,4,10,Champions
CUST5221,2026-03-21,11,115214.51,102,3,4,4,11,Champions
CUST5222,2025-10-19,6,40700.22,255,2,3,2,7,Potential Loyalists
CUST5223,2025-12-09,4,27949.87,204,2,2,2,6,Potential Loyalists
CUST5224,2025-05-17,2,28692.41,410,1,1,2,4,At Risk
CUST5225,2026-05-18,8,91429.3,44,4,4,4,12,Champions
CUST5226,2026-02-04,2,13287.5,147,2,1,1,4,At Risk
CUST5227,2026-04-02,9,109973.08,90,3,4,4,11,Champions
CUST5228,2025-11-10,10,114696.22,233,2,4,4,10,Champions
CUST5229,2024-10-01,1,2324.12,638,1,1,1,3,Lost / Churned
CUST5230,2025-08-11,1,4128.42,324,1,1,1,3,Lost / Churned
CUST5231,2026-05-31,6,56607.28999999999,31,4,3,3,10,Champions
CUST5232,2026-05-04,5,46837.47,58,3,2,3,8,Loyal Customers
CUST5233,2026-01-06,2,14678.99,176,2,1,1,4,At Risk
CUST5234,2026-06-02,10,103561.12,29,4,4,4,12,Champions
CUST5235,2025-06-04,1,6525.68,392,1,1,1,3,Lost / Churned
CUST5236,2025-10-09,3,8169.24,265,2,1,1,4,At Risk
CUST5237,2026-06-15,2,9459.2,16,4,1,1,6,Potential Loyalists
CUST5238,2025-09-26,4,57654.990000000005,278,2,2,3,7,Potential Loyalists
CUST5239,2025-12-13,2,26010.68,200,2,1,2,5,At Risk
CUST5240,2024-09-14,1,5470.66,655,1,1,1,3,Lost / Churned
CUST5241,2026-03-14,1,1510.76,109,3,1,1,5,At Risk
CUST5242,2026-02-17,2,19813.62,134,3,1,1,5,At Risk
CUST5243,2026-06-20,2,16124.67,11,4,1,1,6,Potential Loyalists
CUST5244,2026-04-16,4,39805.06,76,3,2,2,7,Potential Loyalists
CUST5245,2026-04-04,10,77279.8,88,3,4,4,11,Champions
CUST5246,2026-02-21,3,16783.6,130,3,1,1,5,At Risk
CUST5247,2025-07-21,5,34120.95,345,1,2,2,5,At Risk
CUST5248,2026-06-28,14,115819.41,3,4,4,4,12,Champions
CUST5249,2025-07-31,5,28020.489999999998,335,1,2,2,5,At Risk
CUST5250,2025-05-20,7,72057.36,407,1,3,4,8,Loyal Customers
CUST5251,2026-06-02,8,46948.31,29,4,4,3,11,Champions
CUST5252,2026-05-16,9,51766.95,46,4,4,3,11,Champions
CUST5253,2026-01-04,6,43448.6,178,2,3,2,7,Potential Loyalists
CUST5254,2026-05-27,11,113715.53,35,4,4,4,12,Champions
CUST5255,2026-02-12,1,19485.06,139,2,1,1,4,At Risk
CUST5256,2025-08-30,2,30180.11,305,1,1,2,4,At Risk
CUST5257,2026-02-03,8,75683.54,148,2,4,4,10,Champions
CUST5258,2026-03-16,2,7762.45,107,3,1,1,5,At Risk
CUST5259,2026-06-17,8,38687.31,14,4,4,2,10,Champions
CUST5260,2025-10-23,4,24301.86,251,2,2,1,5,At Risk
CUST5261,2025-11-24,3,38613.29,219,2,1,2,5,At Risk
CUST5262,2026-01-29,5,54148.39,153,2,2,3,7,Potential Loyalists
CUST5263,2026-05-08,4,25783.670000000002,54,4,2,2,8,Loyal Customers
CUST5264,2026-04-26,1,1733.02,66,3,1,1,5,At Risk
CUST5265,2026-02-15,4,22757.21,136,3,2,1,6,Potential Loyalists
CUST5266,2026-04-27,6,70994.92,65,3,3,4,10,Champions
CUST5267,2026-01-07,6,65354.26,175,2,3,3,8,Loyal Customers
CUST5268,2024-01-16,1,11730.13,897,1,1,1,3,Lost / Churned
CUST5269,2026-04-13,1,6257.3,79,3,1,1,5,At Risk
CUST5270,2025-07-09,3,13758.880000000001,357,1,1,1,3,Lost / Churned
CUST5271,2026-04-07,6,90492.19,85,3,3,4,10,Champions
CUST5272,2026-05-24,10,93300.05,38,4,4,4,12,Champions
CUST5273,2025-02-06,8,101082.26000000001,510,1,4,4,9,Loyal Customers
CUST5274,2025-03-22,5,20390.87,466,1,2,1,4,At Risk
CUST5275,2024-10-02,3,34432.23,637,1,1,2,4,At Risk
CUST5276,2026-05-22,8,50395.45,40,4,4,3,11,Champions
CUST5277,2025-11-05,3,20617.519999999997,238,2,1,1,4,At Risk
CUST5278,2026-02-08,13,93057.92,143,2,4,4,10,Champions
CUST5279,2026-03-30,6,23103.29,93,3,3,1,7,Potential Loyalists
CUST5280,2026-06-02,9,89084.95,29,4,4,4,12,Champions
CUST5281,2025-05-14,1,31272.64,413,1,1,2,4,At Risk
CUST5282,2025-06-16,2,35116.56,380,1,1,2,4,At Risk
CUST5283,2025-06-15,2,24077.37,381,1,1,1,3,Lost / Churned
CUST5284,2025-04-03,4,42717.51,454,1,2,2,5,At Risk
CUST5285,2025-10-17,3,46840.65,257,2,1,3,6,Potential Loyalists
CUST5286,2025-12-07,3,19148.809999999998,206,2,1,1,4,At Risk
CUST5287,2024-07-04,2,25659.25,727,1,1,2,4,At Risk
CUST5288,2026-06-08,12,89957.37,23,4,4,4,12,Champions
CUST5289,2026-03-21,5,47974.27,102,3,2,3,8,Loyal Customers
CUST5290,2026-05-13,6,73291.36,49,4,3,4,11,Champions
CUST5291,2026-01-19,13,142893.2,163,2,4,4,10,Champions
CUST5292,2026-06-28,7,46045.96,3,4,3,3,10,Champions
CUST5293,2026-05-11,8,68701.93,51,4,4,3,11,Champions
CUST5294,2026-06-30,7,78149.37,1,4,3,4,11,Champions
CUST5295,2026-06-11,6,48091.96,20,4,3,3,10,Champions
CUST5296,2026-01-29,7,33854.57,153,2,3,2,7,Potential Loyalists
CUST5297,2026-02-25,4,63098.44,126,3,2,3,8,Loyal Customers
CUST5298,2025-07-12,3,15384.93,354,1,1,1,3,Lost / Churned
CUST5299,2026-06-09,12,112108.37,22,4,4,4,12,Champions
CUST5300,2026-03-27,3,20637.78,96,3,1,1,5,At Risk
CUST5301,2025-01-26,2,16088.279999999999,521,1,1,1,3,Lost / Churned
CUST5302,2026-06-08,10,89301.94,23,4,4,4,12,Champions
CUST5303,2026-02-13,8,67102.48,138,2,4,3,9,Loyal Customers
CUST5304,2025-10-11,2,29971.42,263,2,1,2,5,At Risk
CUST5305,2025-10-28,8,37218.219999999994,246,2,4,2,8,Loyal Customers
CUST5306,2026-06-06,10,68038.73,25,4,4,3,11,Champions
CUST5307,2024-02-07,2,30827.260000000002,875,1,1,2,4,At Risk
CUST5308,2025-10-31,3,35032.65,243,2,1,2,5,At Risk
CUST5309,2025-04-25,4,33910.87,432,1,2,2,5,At Risk
CUST5310,2025-10-17,3,38557.979999999996,257,2,1,2,5,At Risk
CUST5311,2025-12-14,7,33046.81,199,2,3,2,7,Potential Loyalists
CUST5312,2026-06-28,7,49216.26,3,4,3,3,10,Champions
CUST5313,2026-06-26,7,39676.44,5,4,3,2,9,Loyal Customers
CUST5314,2024-10-28,3,27730.5,611,1,1,2,4,At Risk
CUST5315,2025-06-26,3,44545.1,370,1,1,3,5,At Risk
CUST5316,2025-12-07,5,61358.37,206,2,2,3,7,Potential Loyalists
CUST5317,2026-06-20,16,155691.91,11,4,4,4,12,Champions
CUST5318,2025-11-23,9,83416.11,220,2,4,4,10,Champions
CUST5319,2026-02-10,11,136851.21,141,2,4,4,10,Champions
CUST5320,2026-01-10,7,71310.97,172,2,3,4,9,Loyal Customers
CUST5321,2026-04-22,3,51382.91,70,3,1,3,7,Potential Loyalists
CUST5322,2026-04-06,7,47335.41,86,3,3,3,9,Loyal Customers
CUST5323,2026-05-23,9,73786.45,39,4,4,4,12,Champions
CUST5324,2025-12-31,3,20472.66,182,2,1,1,4,At Risk
CUST5325,2026-06-19,5,53466.310000000005,12,4,2,3,9,Loyal Customers
CUST5326,2026-05-17,7,73064.22,45,4,3,4,11,Champions
CUST5327,2025-07-09,2,38714.55,357,1,1,2,4,At Risk
CUST5328,2026-06-04,12,119948.83,27,4,4,4,12,Champions
CUST5329,2026-01-16,6,63188.22,166,2,3,3,8,Loyal Customers
CUST5330,2026-06-28,6,54906.18,3,4,3,3,10,Champions
CUST5331,2026-02-09,9,82345.69,142,2,4,4,10,Champions
CUST5332,2026-02-19,4,40680.32,132,3,2,2,7,Potential Loyalists
CUST5333,2026-05-29,7,52323.18,33,4,3,3,10,Champions
CUST5334,2026-01-29,5,51449.69,153,2,2,3,7,Potential Loyalists
CUST5335,2026-06-09,9,91471.99,22,4,4,4,12,Champions
CUST5336,2026-01-12,3,26438.300000000003,170,2,1,2,5,At Risk
CUST5337,2025-11-09,5,51825.28,234,2,2,3,7,Potential Loyalists
CUST5338,2025-01-03,5,20927.39,544,1,2,1,4,At Risk
CUST5339,2026-06-10,7,61005.06,21,4,3,3,10,Champions
CUST5340,2026-03-11,2,6957.1,112,3,1,1,5,At Risk
CUST5341,2026-05-24,6,56909.78,38,4,3,3,10,Champions
CUST5342,2026-06-28,2,27503.9,3,4,1,2,7,Potential Loyalists
CUST5343,2026-04-30,12,107455.8,62,3,4,4,11,Champions
CUST5344,2025-02-09,5,40298.6,507,1,2,2,5,At Risk
CUST5345,2025-11-23,7,76108.72,220,2,3,4,9,Loyal Customers
CUST5346,2025-07-25,4,44535.36,341,1,2,3,6,Potential Loyalists
CUST5347,2026-06-20,6,63327.72,11,4,3,3,10,Champions
CUST5348,2026-05-25,6,54379.409999999996,37,4,3,3,10,Champions
CUST5349,2026-03-27,7,63292.65,96,3,3,3,9,Loyal Customers
CUST5350,2026-05-23,11,84587.79000000001,39,4,4,4,12,Champions
CUST5351,2025-01-06,4,82087.34,541,1,2,4,7,Potential Loyalists
CUST5352,2026-05-29,4,32784.29,33,4,2,2,8,Loyal Customers
CUST5353,2025-06-27,11,94606.66,369,1,4,4,9,Loyal Customers
CUST5354,2025-12-17,7,79623.5,196,2,3,4,9,Loyal Customers
CUST5355,2025-02-09,3,25564.46,507,1,1,2,4,At Risk
CUST5356,2026-01-25,7,99134.41,157,2,3,4,9,Loyal Customers
CUST5357,2026-01-22,7,49907.83,160,2,3,3,8,Loyal Customers
CUST5358,2026-01-25,6,75730.65,157,2,3,4,9,Loyal Customers
CUST5359,2026-06-15,13,101790.20999999999,16,4,4,4,12,Champions
CUST5360,2025-12-04,5,47284.93,209,2,2,3,7,Potential Loyalists
CUST5361,2026-03-21,5,79501.51000000001,102,3,2,4,9,Loyal Customers
CUST5362,2025-05-05,4,44368.259999999995,422,1,2,3,6,Potential Loyalists
CUST5363,2024-12-07,2,12705.75,571,1,1,1,3,Lost / Churned
CUST5364,2025-01-26,2,27765.64,521,1,1,2,4,At Risk
CUST5365,2026-03-25,11,121578.93000000001,98,3,4,4,11,Champions
CUST5366,2025-07-07,3,46669.99,359,1,1,3,5,At Risk
CUST5367,2026-02-25,8,68955.69,126,3,4,3,10,Champions
CUST5368,2026-03-17,3,15379.64,106,3,1,1,5,At Risk
CUST5369,2025-03-15,1,4349.52,473,1,1,1,3,Lost / Churned
CUST5370,2025-01-10,3,35149.81,537,1,1,2,4,At Risk
CUST5371,2024-01-17,1,1900.87,896,1,1,1,3,Lost / Churned
CUST5372,2025-12-21,12,93455.98999999999,192,2,4,4,10,Champions
CUST5373,2024-12-02,1,16221.37,576,1,1,1,3,Lost / Churned
CUST5374,2025-04-13,5,53474.85,444,1,2,3,6,Potential Loyalists
CUST5375,2024-01-23,1,23123.07,890,1,1,1,3,Lost / Churned
CUST5376,2026-02-07,1,13094.96,144,2,1,1,4,At Risk
CUST5377,2026-05-11,7,33174.07,51,4,3,2,9,Loyal Customers
CUST5378,2026-05-02,6,33086.11,60,3,3,2,8,Loyal Customers
